day,event_slot,baseline_quality,mechanism,payment_usd,realized_n1_value_usd,absolute_error_usd,overpayment_usd,base_case_max_loading,n1_base_case_max_loading,n1_max_post_contingency_loading,binding_contingency_constraints,credible_line_contingencies,excluded_islanding_contingencies,load_multiplier,peak_dc_penetration,dc_power_scale,settlement_generator_segments,evaluation_generator_segments,checkpoint_schema_version,panel_checksum
72,71,Risk-Constrained Convex Verifier,N-1 exact net value,-32.982652510159824,-21.560044380032195,11.422608130127628,0.0,0.7810109692553265,0.750430108699778,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,64,Trace-Anchored Reference,Base-case exact net value,11.469068889789924,-56.64981707422339,68.11888596401332,68.11888596401332,0.7717447132313928,0.749023090979724,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,64,Trace-Anchored Reference,N-1 signed linear,-56.42897482180668,-56.64981707422339,0.22084225241670907,0.22084225241670907,0.7717447132313928,0.749023090979724,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,64,Trace-Anchored Reference,N-1 exact net value,-56.63575016407776,-56.64981707422339,0.014066910145629663,0.014066910145629663,0.7717447132313928,0.749023090979724,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,64,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-56.64981707422339,56.64981707422339,56.64981707422339,0.772825397633827,0.7491846288315107,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,64,Risk-Constrained Convex Verifier,N-1 signed linear,-71.08872821574603,-56.64981707422339,14.438911141522638,0.0,0.772825397633827,0.7491846288315107,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,64,Risk-Constrained Convex Verifier,N-1 exact net value,-71.29550355801621,-56.64981707422339,14.645686483792815,0.0,0.772825397633827,0.7491846288315107,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,65,Trace-Anchored Reference,Base-case exact net value,11.35608745308673,-15.34703500440446,26.70312245749119,26.70312245749119,0.7805234720444248,0.7503040789111278,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,65,Trace-Anchored Reference,N-1 signed linear,-15.454797262129098,-15.34703500440446,0.10776225772463732,0.0,0.7805234720444248,0.7503040789111278,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,65,Trace-Anchored Reference,N-1 exact net value,-15.661572604412868,-15.34703500440446,0.314537600008407,0.0,0.7805234720444248,0.7503040789111278,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,65,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-15.34703500440446,15.34703500440446,15.34703500440446,0.7816041564468592,0.7505199179875095,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,65,Risk-Constrained Convex Verifier,N-1 signed linear,-30.28703954387068,-15.34703500440446,14.94000453946622,0.0,0.7816041564468592,0.7505199179875095,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,65,Risk-Constrained Convex Verifier,N-1 exact net value,-30.28703954388402,-15.34703500440446,14.94000453947956,0.0,0.7816041564468592,0.7505199179875095,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,66,Trace-Anchored Reference,Base-case exact net value,11.356087453090367,-26.987366954155732,38.3434544072461,38.3434544072461,0.7777600050151336,0.7501826096595651,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,66,Trace-Anchored Reference,N-1 signed linear,-27.054759098582696,-26.987366954155732,0.0673921444269645,0.0,0.7777600050151336,0.7501826096595651,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,66,Trace-Anchored Reference,N-1 exact net value,-27.261534440851392,-26.987366954155732,0.27416748669566005,0.0,0.7777600050151336,0.7501826096595651,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,66,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-26.987366954155732,26.987366954155732,26.987366954155732,0.7788210989661581,0.7501201454009988,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,66,Risk-Constrained Convex Verifier,N-1 signed linear,-41.714512492522005,-26.987366954155732,14.727145538366273,0.0,0.7788210989661581,0.7501201454009988,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,66,Risk-Constrained Convex Verifier,N-1 exact net value,-41.921287834791656,-26.987366954155732,14.933920880635924,0.0,0.7788210989661581,0.7501201454009988,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,67,Trace-Anchored Reference,Base-case exact net value,-122.41698581688252,-260.27201159345896,137.85502577657644,137.85502577657644,0.7805137113993824,0.7502972728799434,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,67,Trace-Anchored Reference,N-1 signed linear,-260.13846521765726,-260.27201159345896,0.13354637580169992,0.13354637580169992,0.7805137113993824,0.7502972728799434,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,67,Trace-Anchored Reference,N-1 exact net value,-260.34524055992915,-260.27201159345896,0.07322896647019661,0.0,0.7805137113993824,0.7502972728799434,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,67,Risk-Constrained Convex Verifier,Base-case exact net value,-6.696501401982459,-260.27201159345896,253.5755101914765,253.5755101914765,0.770966478509109,0.7492605235816195,1.0000000000000018,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,67,Risk-Constrained Convex Verifier,N-1 signed linear,-79.24744914704603,-260.27201159345896,181.02456244641292,181.02456244641292,0.770966478509109,0.7492605235816195,1.0000000000000018,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,67,Risk-Constrained Convex Verifier,N-1 exact net value,-79.4542244893164,-260.27201159345896,180.81778710414255,180.81778710414255,0.770966478509109,0.7492605235816195,1.0000000000000018,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,68,Trace-Anchored Reference,Base-case exact net value,47.548041668575024,54.57635371649667,7.028312047921645,0.0,0.7797617902213226,0.7505829840436622,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,68,Trace-Anchored Reference,N-1 signed linear,54.71238346343653,54.57635371649667,0.1360297469398617,0.1360297469398617,0.7797617902213226,0.7505829840436622,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
73,68,Trace-Anchored Reference,N-1 exact net value,54.63807617301245,54.57635371649667,0.06172245651578123,0.06172245651578123,0.7797617902213226,0.7505829840436622,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
