day,conversion_scenario,conversion_scale_factor,certified_minus_single_payment_usd,certified_minus_feasible_quantile_payment_usd,certified_minus_risk_verifier_payment_usd
92,q10,0.6690593552942903,-1.7969250620808452e-07,-1.7969614418689162e-07,-1.8871651263907552e-07
92,q50,0.9240713988969669,-2.481901919537677e-07,-2.4818837296436413e-07,-2.606502693680568e-07
92,q90,1.4095608876115522,-3.785789921550986e-07,-3.7858444912330924e-07,-3.975874314221528e-07
92,q99,4.755718434549532,-1.277290714085666e-06,-1.277290714085666e-06,-1.3414100905606574e-06
93,q01,0.5366973300611017,0.0,0.0,-1.6123522073030472e-08
93,q10,0.6690593552942903,-1.8189894035458565e-12,8.881784197001252e-16,-2.0094375052792657e-08
93,q50,0.9240713988969669,0.0,0.0,-2.7754140319302678e-08
93,q90,1.4095608876115522,-1.8189894035458565e-12,-1.8189894035458565e-12,-4.232788342051208e-08
93,q99,4.755718434549532,0.0,-3.637978807091713e-12,-1.4281613402999938e-07
94,q01,0.5366973300611017,0.0,-2.0296913162346755,-0.2930129284650321
94,q10,0.6690593552942903,0.0,-2.530260330029705,-0.3652767212224715
94,q50,0.9240713988969669,0.0,-3.4946693208057695,-0.5045019819117443
94,q90,1.4095608876115522,0.0,-5.33070193020103,-0.769557701140002
94,q99,4.755718434549532,0.0,-17.985258857104782,-2.596411249722223
95,q01,0.5366973300611017,0.017026077804985107,-2.3876212624691107,-0.33011675512898364
95,q10,0.6690593552942903,0.02122510398476507,-2.9764641131659992,-0.4115312131907505
95,q50,0.9240713988969669,0.029315054594917456,-4.110943722780576,-0.5683863783633569
95,q90,1.4095608876115522,0.044716625176079106,-6.270755149136669,-0.8670057410454319
95,q99,4.755718434549532,-0.10432998501526924,-21.21403937563626,-3.0812383795764475
96,q01,0.5366973300611017,0.0,0.0,-3.1632225727662444e-09
96,q10,0.6690593552942903,0.0,0.0,-3.941750037483871e-09
96,q50,0.9240713988969669,0.0,0.0,-5.438778760691321e-09
96,q90,1.4095608876115522,0.0,0.0,-8.301867193694079e-09
96,q99,4.755718434549532,0.0,0.0,-2.800334186758846e-08
97,q01,0.5366973300611017,0.0,0.0,-3.0995579436421394e-09
97,q10,0.6690593552942903,0.0,0.0,-3.872628662193733e-09
97,q50,0.9240713988969669,0.0,0.0,-5.35146682523191e-09
97,q90,1.4095608876115522,0.0,0.0,-8.15634848549962e-09
97,q99,4.755718434549532,0.0,0.0,-2.7519490686245263e-08
98,q01,0.5366973300611017,0.0,0.0,-3.115928848274052e-09
98,q10,0.6690593552942903,0.0,0.0,-3.8962753023952246e-09
98,q50,0.9240713988969669,0.0,0.0,-5.386028067988491e-09
98,q90,1.4095608876115522,0.0,0.0,-8.210918167605996e-09
98,q99,4.755718434549532,0.0,0.0,-2.7688656700775027e-08
99,q01,0.5366973300611017,0.0,0.0,-3.075910970373741e-09
99,q10,0.6690593552942903,0.0,0.0,-3.828972916508633e-09
99,q50,0.9240713988969669,0.0,0.0,-5.2914399528702916e-09
99,q90,1.4095608876115522,0.0,0.0,-8.070855983532965e-09
99,q99,4.755718434549532,0.0,0.0,-2.723027137108147e-08
100,q01,0.5366973300611017,0.0,0.0,-3.039531293325126e-09
100,q10,0.6690593552942903,0.0,0.0,-3.790773916989565e-09
100,q50,0.9240713988969669,0.0,0.0,-5.247784651274401e-09
100,q90,1.4095608876115522,0.0,0.0,-8.009010343812406e-09
100,q99,4.755718434549532,0.0,0.0,-2.7019268600270152e-08
101,q01,0.5366973300611017,-12.70889559889656,-10.941080840897484,-12.91680943665233
101,q10,0.6690593552942903,-15.843204390321262,-13.639405459311085,-16.10239460881712
101,q50,0.9240713988969669,-21.88184340915359,-18.83806628392631,-22.239824006679555
101,q90,1.4095608876115522,-33.89218911185162,-28.73048957414177,-34.312142620803584
101,q99,4.755718434549532,-117.51609783587259,-98.25209932730831,-118.62386371512179
102,q01,0.5366973300611017,-4.2437999233497985,-2.560721583493433,-3.610411853169354
102,q10,0.6690593552942903,-5.290419537566778,-3.1922549932278352,-4.500823260199469
102,q50,0.9240713988969669,-7.306863500440155,-4.408983319463001,-6.216312518959963
102,q90,1.4095608876115522,-11.145750224099174,-6.7253790655959165,-9.48224455638956
102,q99,4.755718434549532,-39.152280512969796,-22.767980350356076,-33.09129365101762
103,q01,0.5366973300611017,-0.8614220337440184,2.101492796666209,-0.12086274368630079
103,q10,0.6690593552942903,-1.0738687119301176,2.6197697229727055,-0.15067030305181106
103,q50,0.9240713988969669,-1.4831738843677158,3.6182952282761107,-0.20809830489815795
103,q90,1.4095608876115522,-2.2624051555176194,5.5192785316139705,-0.3174291853683755
103,q99,4.755718434549532,-9.230762721801511,18.48203309366542,-2.247613863692095
104,q01,0.5366973300611017,0.0,0.0,-2.9558578015786985e-09
104,q10,0.6690593552942903,0.0,0.0,-3.6834535421803594e-09
104,q50,0.9240713988969669,0.0,0.0,-5.087713306206609e-09
104,q90,1.4095608876115522,0.0,0.0,-7.77799882833996e-09
104,q99,4.755718434549532,0.0,0.0,-2.6249836082570255e-08
105,q01,0.5366973300611017,-0.0020217161763866898,0.4053603248921718,0.05678929198074911
105,q10,0.6690593552942903,-0.002520318332244642,0.5053315946315706,0.07079485019676213
105,q50,0.9240713988969669,-0.003480937930360639,0.6979387850460643,0.09777831478641197
105,q90,1.4095608876115522,-0.005309756321366876,1.0646225113432592,0.14914917649548265
105,q99,4.755718434549532,-0.017914590467626113,3.5919306129562756,0.5032145077166206
106,q01,0.5366973300611017,-1.2472082763781422e-07,-1.2472082752679192e-07,-1.277348927464228e-07
106,q10,0.6690593552942903,-1.5547993853504138e-07,-1.554817574411782e-07,-1.5924706525671795e-07
106,q50,0.9240713988969669,-2.1474625111483903e-07,-2.1474443212543548e-07,-2.199412846293214e-07
106,q90,1.4095608876115522,-3.275799828617032e-07,-3.2757816376127735e-07,-3.3549440570102007e-07
106,q99,4.755718434549532,-1.1051852200072432e-06,-1.1051870385525575e-06,-1.1319043551338837e-06
107,q01,0.5366973300611017,-5.770853022113442e-07,-5.770762072643265e-07,-5.805486580356956e-07
107,q10,0.6690593552942903,-7.193939381977543e-07,-7.193884812295437e-07,-7.237213139887899e-07
107,q50,0.9240713988969669,-9.935920388670638e-07,-9.935956786222278e-07,-9.995601431000978e-07
107,q90,1.4095608876115522,-1.5156110748648643e-06,-1.515612893854268e-06,-1.5247132978402078e-06
107,q99,4.755718434549532,-5.1135211904806965e-06,-5.1135230094701e-06,-5.144216636665533e-06
108,q01,0.5366973300611017,-2.916749508585781e-07,-2.916749505255112e-07,-2.948054316220805e-07
108,q10,0.6690593552942903,-3.636196196366015e-07,-3.6361780042515335e-07,-3.6752135190720736e-07
108,q50,0.9240713988969669,-5.022084226258272e-07,-5.022066034143791e-07,-5.075926312603229e-07
108,q90,1.4095608876115522,-7.660619305571714e-07,-7.660637488804412e-07,-7.742855814285576e-07
108,q99,4.755718434549532,-2.5846020434983075e-06,-2.584603862487711e-06,-2.6123379939235747e-06
109,q01,0.5366973300611017,-9.076380332524426,-2.818995531628392,-8.173043676188176
109,q10,0.6690593552942903,-11.314826501924472,-3.5142252948317108,-10.188706048087628
109,q50,0.9240713988969669,-15.603194575327507,-4.8293933981476584,-14.04785319212533
109,q90,1.4095608876115522,-23.63736541680737,-7.203214583449167,-21.264877334984703
109,q99,4.755718434549532,-81.54904970868118,-23.654737066804955,-72.95871197126871
110,q01,0.5366973300611017,0.0,-1.410135292389896,-0.20357177380901703
110,q10,0.6690593552942903,0.0,-1.7579074028490138,-0.2537773007279611
110,q50,0.9240713988969669,0.0,-2.4279339942331717,-0.35050454558404454
110,q90,1.4095608876115522,0.0,-3.7035242082602053,-0.5346529488688248
110,q99,4.755718434549532,0.0,-12.495322837643469,-1.8038659467474645
111,q01,0.5366973300611017,-7.787093192490602e-09,-2.1393337608697034,-0.3088412822417008
111,q10,0.6690593552942903,-9.71522240433842e-09,-2.666943147723942,-0.3850087146201986
111,q50,0.9240713988969669,-1.3407770005358088e-08,-3.6834488088134085,-0.5317548266666554
111,q90,1.4095608876115522,-2.0458173821680248e-08,-5.61866256074245,-0.8111286707571708
111,q99,4.755718434549532,-6.89997214919913e-08,-18.956809423754745,-2.73666757226783
112,q01,0.5366973300611017,-9.446557669434696e-08,-1.6696968418418692,-0.24104303605236055
112,q10,0.6690593552942903,-1.1776683095376939e-07,-2.081482858155141,-0.30048984644236043
112,q50,0.9240713988969669,-1.6264857549685985e-07,-2.8748402683431777,-0.41502158299954317
112,q90,1.4095608876115522,-2.481046976754442e-07,-4.3852265152108885,-0.6330660072471801
112,q99,4.755718434549532,-8.370625437237322e-07,-14.795318713322558,-2.135901831148658
113,q01,0.5366973300611017,-0.5209348782555026,1.0085679639450973,-0.30013082040568406
113,q10,0.6690593552942903,-0.6494095168218319,1.2573042456770072,-0.37415005060392836
113,q50,0.9240713988969669,-0.8969320224332478,1.7365258910758712,-0.516757381730713
113,q90,1.4095608876115522,-1.3681630003666214,2.648863474525566,-0.788251854288319
113,q99,4.755718434549532,-4.605085155419147,8.837723559241567,-2.6485225464166433
114,q01,0.5366973300611017,-17.344439189977493,-9.095316131353684,-16.15356865204376
114,q10,0.6690593552942903,-21.62198068149155,-11.338432308477422,-20.1374138134961
114,q50,0.9240713988969669,-29.86320089116633,-15.66007697476742,-27.812791205371454
114,q90,1.4095608876115522,-45.7636010080987,-23.887582741941515,-42.57059912935438
114,q99,4.755718434549532,-157.37963534107078,-81.86550909350444,-146.40514526479092
