day,solver_success,global_lp_status,mean_absolute_target_deviation_mw,first_stage_optimal_target_deviation_mw,worst_case_fractional_cost_margin,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_violation_usd,certificate_schema_version,candidate_checksum,conversion_scale_q01,conversion_scale_q10,conversion_scale_q50,conversion_scale_q90,conversion_scale_q99,certified_cost_q01_usd,certified_cost_q10_usd,certified_cost_q50_usd,certified_cost_q90_usd,certified_cost_q99_usd,reference_cost_q01_usd,reference_cost_q10_usd,reference_cost_q50_usd,reference_cost_q90_usd,reference_cost_q99_usd,weight_rho_0.03,weight_rho_0.1,weight_rho_0.3,weight_rho_1,weight_rho_3,weight_rho_10,weight_feasible_quantile
81,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0011033098225043583,106926.24661505345,107123.89433916428,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106639.11143618965,106743.43432130353,106926.24661505345,107123.54744567611,108121.42735294058,106756.89736966797,106890.47071119871,107123.89433916428,107375.8176356772,108661.78365599382,0.0,0.0,0.0,0.9999999972771297,0.0,2.722870283399608e-09,0.0
82,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.5017860943751251,0.501786093375125,1.3611860498211805e-12,106575.18478363614,106576.33974575778,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106434.81305506294,106485.90317950648,106575.18478363614,106671.56576938125,107157.33875679088,106435.78507393063,106486.94178296144,106576.33974575778,106672.88359418305,107157.37375555455,0.0,0.0,0.0,0.59713368003186,0.0,0.0,0.40286631996814004
83,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.06746502256285514,0.06746502156285511,9.39116369661349e-14,106316.29691514473,106316.29691514475,1.4551915228366852e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106283.2396574604,106295.26553388554,106316.29691514473,106338.99510959582,106452.89641254007,106283.2396574604,106295.26553388554,106316.29691514475,106338.99510959581,106452.89641254007,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,9.219078931707153e-13,106296.65199507514,106296.65199522368,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106271.71434810938,106280.76508243402,106296.65199507514,106313.82271321189,106399.96070405308,106271.71434819634,106280.76508254345,106296.65199522368,106313.82271340268,106399.96070445515,0.0,0.0,6.920410781445691e-10,0.0,0.0,-6.920410785374318e-10,1.0
85,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,9.999999999999999e-10,0.0,0.00035380023644086074,106588.53471681991,106652.0056137759,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106442.5272049112,106495.58733571175,106588.53471681991,106688.8995793906,107195.00622497812,106480.19980845472,106542.73077578838,106652.0056137759,106770.06223903403,107362.23544931806,0.0,0.0,0.0,0.0,0.9999999988218657,8.325355735417834e-11,0.0
86,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0002393615189846915,106500.16741213566,106543.23828418982,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106390.90490865998,106430.55470953796,106500.16741213566,106575.64540688033,106954.82620547507,106416.3767128521,106462.54963907183,106543.23828418982,106630.32179688495,107066.93524955086,0.0,0.0,8.889696584464691e-10,1.0,-2.478543265676e-09,2.9035814946677144e-12,-1.2059080259034332e-10
87,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00014789684729253302,106778.18789897326,106802.20237178996,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106552.60201392302,106634.5466979798,106778.18789897326,106933.37156059734,107711.80032969803,106568.36306235378,106653.47193392157,106802.20237178996,106962.7202359247,107769.74441784275,0.0,0.0,0.0,0.9999999990107189,0.0,2.693786682144664e-10,0.0
88,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000031381399e-09,0.0,0.00010892265620926999,106535.8127579632,106555.56102854261,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106411.9963373298,106457.06094116856,106535.8127579632,106620.93624079047,107050.11242433003,106423.58827723702,106471.62148417899,106555.56102854261,106646.15308603129,107100.25806561111,0.0,0.0,0.0,1.0,6.637259086310074e-10,-6.637260457707892e-10,1.2605332200593675e-16
89,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.25932623528015886,0.25932623428015883,5.192421272903199e-14,106368.76996951574,106368.78993803421,2.954038791358471e-09,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106314.0098227096,106333.94049353134,106368.76996951574,106406.35980770939,106594.84154902118,106314.04324645265,106333.96902006964,106368.78993803421,106406.37053995399,106594.84154901822,-4.26463070577584e-09,0.0,1.0,0.0,0.0,0.0,4.26463070577584e-09
90,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.39562060913504e-14,106297.57438613228,106297.5743861323,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106272.27776867567,106281.46421706755,106297.57438613228,106314.99041117544,106402.39934941739,106272.27776867567,106281.46421706757,106297.5743861323,106314.99041117544,106402.39934941739,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00021750791523905263,106635.21988625116,106673.26851564218,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106469.51791224082,106529.79341270261,106635.21988625116,106749.08834825705,107321.90268009527,106492.68081430768,106558.4080674229,106673.26851564218,106797.2320706882,107428.47100459738,0.0,0.0,0.0,0.9999999987034591,0.0,3.6543093285918593e-10,0.0
92,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,4.977395020636297e-08,106297.62558388064,106297.65923168318,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106272.31423838277,106281.52663324648,106297.62558388064,106315.01488316506,106402.41511449011,106272.35569166127,106281.56524562003,106297.65923168318,106315.04317293633,106402.42041054889,0.0,-0.0,0.0,0.0,1.0,0.0,0.0
93,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,1.5741041122987782e-07,106280.08855911654,106280.1274787038,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106262.01479542468,106268.58265419528,106280.08855911654,106292.50634870531,106354.76249159197,106262.05121955357,106268.62515349392,106280.1274787038,106292.5414048761,106354.77818186414,-1.2894229932148138e-08,0.0,0.0,0.0,1.000000005441935,0.0,-2.4413820761997683e-09
94,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.04491822507640305,0.04491822407640305,1.4651631327831316e-12,106242.94763667918,106242.9476369273,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106240.26250498393,106241.23979374323,106242.94763667918,106244.79083235779,106254.03010077929,106240.26250512958,106241.23979392617,106242.9476369273,106244.79083267626,106254.0301014504,0.0,2.1937505176655582e-08,1.0,-2.1937505176655582e-08,-0.0,0.0,0.0
95,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.5285002832244573,0.5285002822244573,3.027294914420615e-13,106340.43598139209,106340.47057504064,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106297.44324494383,106313.09097741751,106340.43598139209,106369.97574512562,106518.73342523436,106297.4852534198,106313.13028717018,106340.47057504064,106370.00484726214,106518.73351165111,0.0,0.0,0.9983558489051694,0.0016441510948306463,0.0,0.0,0.0
96,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.419548535885106e-14,106254.93605264193,106254.93605264193,1.4551915228366852e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106247.27782359681,106250.0651361056,106254.93605264193,106260.19300696815,106286.59790833217,106247.2778235968,106250.0651361056,106254.93605264193,106260.19300696814,106286.59790833219,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.379660093273018e-14,106249.97606029647,106249.97606029647,2.9103830456733704e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106244.38148088282,106246.41360642813,106249.97606029647,106253.82679674718,106273.16802855438,106244.3814808828,106246.41360642812,106249.97606029647,106253.82679674716,106273.16802855436,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.40661876118929e-14,106251.7956792087,106251.7956792087,1.4551915228366852e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106245.45617381111,106247.76351962045,106251.7956792087,106256.14740205869,106277.99441745499,106245.45617381112,106247.76351962046,106251.7956792087,106256.14740205868,106277.99441745499,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.407763994689832e-14,106247.02099354276,106247.02099354277,1.4551915228366852e-11,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106242.65350463089,106244.24310927765,106247.02099354276,106250.01903520421,106265.05689907697,106242.6535046309,106244.24310927765,106247.02099354277,106250.0190352042,106265.05689907697,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.408230086140988e-14,106245.07816350454,106245.07816350454,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106241.51309241288,106242.81064661112,106245.07816350454,106247.52538933026,106259.79244081822,106241.51309241289,106242.81064661112,106245.07816350454,106247.52538933026,106259.79244081822,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,9.999999999999999e-10,0.0,0.00023959616432330116,106505.32281602154,106548.30352077654,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106393.8060498972,106434.21226660209,106505.32281602154,106582.27165431948,106968.46466472682,106419.30307257622,106466.1715890854,106548.30352077654,106636.96536423186,107081.40034073543,0.0,0.0,0.0,1.0000000084832912,0.0,-7.957847493635539e-09,-6.494577786086028e-09
102,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,7.781624035652537e-05,106353.60687521394,106367.62592775398,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106305.15271784361,106322.78824142816,106353.60687521394,106386.86799742766,106553.81492878556,106313.42509736435,106333.15219766935,106367.62592775398,106404.83182589595,106591.83520354767,-5.023357878651186e-09,0.0,0.0,1.0000000000202722,0.0,0.0,-0.0
103,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,1.758157281699379e-05,106324.83687535106,106327.90959368818,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106288.2434550576,106301.56210843322,106324.83687535106,106349.9562519052,106476.02535465593,106290.1122023959,106303.86905674535,106327.90959368818,106353.85543031729,106484.46256540647,0.0,0.0,5.610880165486975e-09,0.0,0.0,0.9999999864081094,7.981010459480727e-09
104,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,9.410122729826438e-14,106237.1762793248,106237.1762793248,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106236.87480440701,106236.98453014184,106237.1762793248,106237.3832253255,106238.4205702322,106236.87480440701,106236.98453014184,106237.1762793248,106237.38322532552,106238.4205702322,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0076625618561243555,0.007662560856124352,3.328133398475843e-13,106267.33570365723,106267.40194042123,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106254.52409897497,106259.18058141379,106267.33570365723,106276.13790433745,106320.26012951878,106254.5951135563,106259.25632550337,106267.40194042123,106276.19312484468,106320.26012954416,0.0,0.0,0.0,0.0,0.0,0.9314906947925864,0.0685093052074136
