day,conversion_scenario,conversion_scale_factor,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_margin_usd,payment_cap_violation_usd
82,q90,1.2780232437772188,107833.4461416979,107833.44614907204,7.374139386229217e-06,0.0
83,q10,0.734154196797104,106498.2541212189,106498.25412232448,1.1055817594751716e-06,0.0
83,q50,0.9957235602389072,106695.0703266718,106695.07032817132,1.4995166566222906e-06,0.0
83,q90,1.2780232437772188,106908.0349889453,106908.03499087816,1.932858140207827e-06,0.0
84,q10,0.734154196797104,106443.22660043016,106443.22660228547,1.8553109839558601e-06,0.0
84,q50,0.9957235602389072,106620.43723303844,106620.4372355548,2.516360837034881e-06,0.0
84,q90,1.2780232437772188,106811.6924505711,106811.69245380088,3.229768481105566e-06,0.0
85,q10,0.734154196797104,107119.8386302356,107119.83863131344,1.0778458090499043e-06,0.0
85,q50,0.9957235602389072,107542.07111959478,107542.07112106806,1.4732795534655452e-06,0.0
85,q90,1.2780232437772188,107999.47208127934,107999.47208317302,1.8936843844130635e-06,0.0
86,q10,0.734154196797104,106955.63022475204,106956.27483076704,0.6446060150046833,0.0
86,q50,0.9957235602389072,107318.32049669858,107319.20346531826,0.8829686196841067,0.0
86,q90,1.2780232437772188,107710.664458854,107711.79775978003,1.1333009260415565,0.0
87,q10,0.734154196797104,107526.8569636669,107542.68902820144,15.832064534537494,0.0
87,q50,0.9957235602389072,108095.6042802592,108117.07709855812,21.472818298920174,0.0
87,q90,1.2780232437772188,108710.02940704112,108737.5900292855,27.560622244374827,0.0
88,q10,0.734154196797104,106994.07059642236,106994.07060159696,5.174602847546339e-06,0.0
88,q50,0.9957235602389072,107370.47962248928,107370.47962955796,7.0686801336705685e-06,0.0
88,q90,1.2780232437772188,107778.58720724008,107778.58721633132,9.091236279346049e-06,0.0
89,q10,0.734154196797104,106591.07394812044,106591.07395112667,3.006236511282623e-06,0.0
89,q50,0.9957235602389072,106821.38990164635,106821.38990572374,4.077388439327478e-06,0.0
89,q90,1.2780232437772188,107070.8177245816,107070.81772984818,5.2665709517896175e-06,0.0
90,q10,0.734154196797104,106446.13537874883,106446.135382826,4.077170160599053e-06,0.0
90,q50,0.9957235602389072,106624.38237033524,106624.38237586504,5.5298005463555455e-06,0.0
90,q90,1.2780232437772188,106816.75608205132,106816.75608914888,7.097565685398877e-06,0.0
91,q10,0.734154196797104,107464.97017903588,107464.97017985945,8.23565642349422e-07,0.0
91,q50,0.9957235602389072,108012.00547984854,108012.00548097694,1.1283991625532508e-06,0.0
91,q90,1.2780232437772188,108606.76926090778,108606.76926235796,1.450185663998127e-06,0.0
92,q10,0.734154196797104,106445.30234147773,106445.30234290748,1.4297547750175e-06,0.0
92,q50,0.9957235602389072,106623.25253297818,106623.25253491734,1.93915911950171e-06,0.0
