job_index,region,requested_gpus,submit_slot,deadline_slot,runtime_slots,declared_job_energy_mwh,declared_job_energy_upper_mwh,runtime_energy_mwh,baseline_start_slot,counterfactual_start_slot,risk_aligned_start_slot,baseline_event_slots,counterfactual_event_slots,baseline_objective_usd,counterfactual_objective_usd,risk_aligned_objective_usd
121,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
122,3,1.0,8080,8183,7,5.9506949454663995e-06,0.00175,0.00175,8080,8080,8080,0,0,0.007875,0.007875,0.015735974628759856
123,3,1.0,1175,1399,128,1.0373055555555563e-05,0.032,0.032,1175,1175,1175,8,8,3.048,3.348,3.348
124,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
125,3,2.0,250,474,128,2.583055570913793e-05,0.064,0.064,250,250,250,16,16,6.096,7.296,7.296
126,3,1.0,445,669,128,1.0373055555555563e-05,0.032,0.032,445,445,445,16,16,3.048,3.648,3.648
127,0,1.0,8271,8369,2,5.85e-07,0.0005,0.0005,8271,8271,8271,0,0,0.000375,0.000375,0.004302502274097207
128,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
129,0,1.0,5876,6100,128,1.9314727484418893e-06,0.032,0.032,5876,5876,5876,8,8,3.048,3.348,3.7145244095419527
130,0,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009891427837328883
131,2,2.0,3883,4107,128,2.583055570913793e-05,0.064,0.064,3883,3883,3883,16,16,6.096,7.296,7.296
132,0,2.0,1187,1411,128,2.583055570913793e-05,0.064,0.064,1187,1187,1187,11,11,6.096,6.921,6.921
133,2,1.0,8862,9086,128,1.0373055555555563e-05,0.032,0.032,8862,8862,8862,8,8,3.048,3.348,3.3824993486040515
134,0,1.0,1360,1457,1,3.770217498256928e-07,0.00025,0.00025,1360,1360,1360,0,0,0.0,0.0,0.0
135,2,1.0,8489,8587,2,5.85e-07,0.0005,0.0005,8489,8489,8489,0,0,0.000375,0.000375,0.009918293484690033
136,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
137,3,2.0,11256,11354,2,1.7130495591308653e-05,0.001,0.001,11256,11256,11256,0,0,0.00075,0.00075,0.00075
