block_length_days,method,metric,mean,ci_2.5,ci_97.5
3,Synthetic Control,false_response_ratio,0.8671926330514376,0.8435644667960785,0.891616536193624
3,Synthetic Control,credit_f1,0.20626312154014823,0.17823934566074992,0.23140666891859907
3,Feasible Quantile Projection,nrmse,0.3213704879915091,0.25053147267980885,0.3954330099141346
3,Feasible Quantile Projection,false_response_ratio,0.19221031328756996,0.13907030534901285,0.25159621254556586
3,Feasible Quantile Projection,credit_f1,0.5080477254230448,0.40799059674107674,0.6050135383364756
3,Tail-Risk Feasible Counterfactual,nrmse,0.33079501527027316,0.25333031666773115,0.41236302016957493
3,Tail-Risk Feasible Counterfactual,false_response_ratio,0.16341570276381578,0.11994348026474218,0.20576194623086524
3,Tail-Risk Feasible Counterfactual,credit_f1,0.48421870809475087,0.3802470710669988,0.5899373771817205
3,Single Feasible Projection,nrmse,0.3452089804915102,0.25986826679440456,0.4357516650821776
3,Single Feasible Projection,false_response_ratio,0.144146510188196,0.09126003451928871,0.19594467556463904
3,Single Feasible Projection,credit_f1,0.44155765212298137,0.33601032317503515,0.5463690300638381
3,Risk-Constrained Convex Verifier,nrmse,0.3433814662182168,0.2577045857179921,0.43464192143659097
3,Risk-Constrained Convex Verifier,false_response_ratio,0.14124824973683456,0.08886748321287823,0.19228519000869115
3,Risk-Constrained Convex Verifier,credit_f1,0.44163063622999443,0.3361410518603251,0.5467868121268296
6,High-5-of-10,nrmse,4.214370508655282,3.7196956004753146,5.078914569341144
6,High-5-of-10,false_response_ratio,0.9168872009321221,0.9065911250790554,0.9354147714151815
6,High-5-of-10,credit_f1,0.1438533604600676,0.1143789581819756,0.16155663348974686
6,Ridge,nrmse,2.772429176047264,2.420030278029156,3.306579092053359
6,Ridge,false_response_ratio,0.8527939029836963,0.8366411917786062,0.8799591217421648
6,Ridge,credit_f1,0.23508779939634222,0.1981707482271261,0.2596919803882214
6,Gradient Boosting,nrmse,2.3513722852181904,2.1004472350224086,2.698170573285555
6,Gradient Boosting,false_response_ratio,0.8471070002653048,0.8268686985222836,0.8706860769636893
6,Gradient Boosting,credit_f1,0.24586394533489042,0.21469131582280246,0.27141941087389326
6,Extra Trees,nrmse,3.3355704511286266,2.99575301856904,3.833636477321299
6,Extra Trees,false_response_ratio,0.8928335671903923,0.874175771061748,0.9138579745394286
6,Extra Trees,credit_f1,0.17684690237257736,0.14551450236034943,0.20417436296257888
6,Metadata Gradient Boosting,nrmse,2.132880396331526,1.9234024782235188,2.4726559754668123
6,Metadata Gradient Boosting,false_response_ratio,0.8361452884204993,0.8167396222948068,0.8637549036583926
6,Metadata Gradient Boosting,credit_f1,0.2644502686339565,0.22754006795544202,0.2912838974540483
6,Ex-post Metadata Gradient Boosting,nrmse,2.1236523448704627,1.8241069149554843,2.4912360998240253
6,Ex-post Metadata Gradient Boosting,false_response_ratio,0.8347761289967935,0.8165648871972437,0.8606795040717435
6,Ex-post Metadata Gradient Boosting,credit_f1,0.26741340977764494,0.23231778050934174,0.2943045484097872
6,Ex-post Quantile Gradient Boosting,nrmse,0.9444731654157017,0.6536258187572062,1.4049844927181343
6,Ex-post Quantile Gradient Boosting,false_response_ratio,0.48924344804753894,0.38523637688340423,0.6234821049223735
6,Ex-post Quantile Gradient Boosting,credit_f1,0.5316263338443133,0.43676814056152535,0.6027463887085622
6,Synthetic Control,nrmse,2.552037287594039,2.109552908014588,3.1324410146509263
6,Synthetic Control,false_response_ratio,0.8671926330514376,0.845081074362132,0.8937805046378294
6,Synthetic Control,credit_f1,0.20626312154014823,0.17515222011938894,0.2281922709402322
6,Feasible Quantile Projection,nrmse,0.3213704879915091,0.25862387274284193,0.38844426887273403
6,Feasible Quantile Projection,false_response_ratio,0.19221031328756996,0.13686624521726523,0.2631580987326406
6,Feasible Quantile Projection,credit_f1,0.5080477254230448,0.37587525184283116,0.6306481180891091
6,Tail-Risk Feasible Counterfactual,nrmse,0.33079501527027316,0.2630470564738592,0.40108912254549306
6,Tail-Risk Feasible Counterfactual,false_response_ratio,0.16341570276381578,0.12688666903114926,0.20102361590694684
6,Tail-Risk Feasible Counterfactual,credit_f1,0.48421870809475087,0.3451973233269516,0.6151302635247324
6,Single Feasible Projection,nrmse,0.3452089804915102,0.2699740608003078,0.42216973984154016
6,Single Feasible Projection,false_response_ratio,0.144146510188196,0.09176851192682184,0.2025092037614171
