day,slot,data_center,oracle_baseline_mw,actual_mw,nodal_response_mw,is_event
69,17,DC3@Bus80,15.05119961534841,14.409952440378078,0.6412471749703332,0
69,18,DC3@Bus80,11.195992974730842,10.554745799760525,0.6412471749703172,0
69,19,DC3@Bus80,11.598256244031212,10.957009069060888,0.6412471749703244,0
69,20,DC3@Bus80,14.772687797758632,16.509663635071124,-1.7369758373124924,0
69,21,DC3@Bus80,13.726068916617677,16.07842371437914,-2.352354797761464,0
69,22,DC3@Bus80,13.631514639944934,12.987141775820788,0.6443728641241453,0
69,23,DC3@Bus80,13.451897759732038,14.354295775076082,-0.9023980153440441,0
69,24,DC3@Bus80,13.577563175766908,17.206282181342374,-3.6287190055754657,0
69,25,DC3@Bus80,11.530277363648688,10.684878165148746,0.8453991984999423,0
69,26,DC3@Bus80,15.20946910275331,14.36406990425337,0.8453991984999405,0
69,27,DC3@Bus80,14.078509791747981,13.233110593248028,0.8453991984999529,0
69,28,DC3@Bus80,19.85739261442228,19.01199341592232,0.8453991984999618,0
69,29,DC3@Bus80,22.28091721342396,21.435518014924014,0.8453991984999476,0
69,30,DC3@Bus80,16.971545118209974,22.24497147427377,-5.273426356063794,0
69,31,DC3@Bus80,15.48300861647053,11.428435176066529,4.054573440404001,0
69,32,DC3@Bus80,12.663449546720742,8.908399035561104,3.755050511159638,0
69,33,DC3@Bus80,11.252139027486587,23.187578733162326,-11.935439705675739,0
69,34,DC3@Bus80,10.98776493093122,10.20921413916606,0.7785507917651611,0
69,35,DC3@Bus80,11.56035618188739,10.78180539012223,0.7785507917651593,0
69,36,DC3@Bus80,12.530441168713581,17.70149693129192,-5.171055762578339,0
69,37,DC3@Bus80,10.777238611173214,9.752463241355485,1.0247753698177284,0
69,38,DC3@Bus80,18.00172009296677,16.976944723149085,1.0247753698176858,0
69,39,DC3@Bus80,18.647094832908692,17.628228111540153,1.0188667213685392,0
69,40,DC3@Bus80,18.670555507092324,17.66128387956103,1.0092716275312945,0
69,41,DC3@Bus80,21.28563404385609,20.27636241632481,1.0092716275312767,0
69,42,DC3@Bus80,17.386635573809134,16.37736394627781,1.009271627531323,0
69,43,DC3@Bus80,11.162488730614125,10.153217103082813,1.0092716275313123,0
69,44,DC3@Bus80,9.047419427775413,12.304718599006838,-3.257299171231425,0
69,45,DC3@Bus80,10.336595291374449,6.910418007440314,3.426177283934135,0
69,46,DC3@Bus80,9.985672662522198,7.149719165677041,2.835953496845157,0
69,47,DC3@Bus80,7.415930919866533,6.438652866916511,0.9772780529500213,0
69,48,DC3@Bus80,7.281722922336723,13.042951705382425,-5.761228783045702,0
69,49,DC3@Bus80,9.27847671102975,8.335036850761133,0.9434398602686169,0
69,50,DC3@Bus80,21.347469123584496,20.404029263315884,0.9434398602686116,0
69,51,DC3@Bus80,20.763624775605432,19.82018491533683,0.9434398602686009,0
69,52,DC3@Bus80,24.920579149687732,23.977139289419142,0.9434398602685903,0
69,53,DC3@Bus80,19.39111198520866,18.447672124940063,0.9434398602685974,0
69,54,DC3@Bus80,23.129295556473643,22.18585569620505,0.9434398602685938,0
69,55,DC3@Bus80,21.0308475958039,20.087407735535272,0.9434398602686258,0
69,56,DC3@Bus80,9.921085115852797,10.684197428430766,-0.7631123125779684,0
69,57,DC3@Bus80,8.619328131649283,6.69727893568855,1.9220491959607333,0
69,58,DC3@Bus80,8.608169659496047,9.090754184275548,-0.48258452477950087,0
69,59,DC3@Bus80,9.261245931953667,7.318840385653987,1.94240554629968,0
69,60,DC3@Bus80,11.029078696596562,9.506793195118764,1.522285501477798,0
69,61,DC3@Bus80,11.911728613993324,11.310790545263956,0.6009380687293682,0
69,62,DC3@Bus80,12.876011741641946,12.315290353994504,0.5607213876474422,0
69,63,DC3@Bus80,7.930868845716766,7.3701474580693365,0.5607213876474297,0
69,64,DC3@Bus80,20.698368546267307,21.270825010618445,-0.5724564643511378,1
69,65,DC3@Bus80,19.129951851974127,17.4360526123281,1.6938992396460257,1
69,66,DC3@Bus80,20.587103089913413,20.026381702265958,0.5607213876474546,1
69,67,DC3@Bus80,20.229705256183273,19.668983868535804,0.5607213876474688,1
69,68,DC3@Bus80,18.277266360510012,21.731436972537402,-3.45417061202739,1
69,69,DC3@Bus80,23.435196417822645,21.63792102526726,1.7972753925553846,1
69,70,DC3@Bus80,18.6741691529516,16.894616083821813,1.7795530691297863,1
69,71,DC3@Bus80,16.148976928911907,14.378890038109642,1.770086890802265,1
