day,endpoint,conversion_scale_factor,hull_baseline_cost_min_usd,hull_baseline_cost_max_usd,counterfactual_cost_usd,payment_interval_lower_usd,payment_interval_upper_usd,payment_interval_width_usd,selected_reference_payment_usd,oracle_payment_usd,oracle_inside_interval,candidate_hull_vertices,candidate_hull_definition,schema_version
79,q99,2.6930887095833507,114969.52209268432,114969.52209527449,115947.0612200106,-977.5391273262794,-977.5391247361113,2.5901681510731578e-06,-977.5391247361113,,,2,segment between selected reference and payment-certified profile,5
80,q01,0.5844748596130233,106944.28937170128,106944.28937601583,107140.8418156579,-196.55244395662157,-196.55243964206602,4.314555553719401e-06,-196.55243964206602,,,2,segment between selected reference and payment-certified profile,5
80,q99,2.6930887095833507,110633.09586323846,110633.0958840399,111568.02027376482,-934.9244105263642,-934.9243897249253,2.0801438950002193e-05,-934.9243897249253,,,2,segment between selected reference and payment-certified profile,5
81,q01,0.5844748596130233,107787.5237803562,107787.52378179456,108249.4324139309,-461.9086335746979,-461.90863213634293,1.4383549569174647e-06,-461.90863213634293,,,2,segment between selected reference and payment-certified profile,5
81,q99,2.6930887095833507,116006.20415564018,116006.20416421432,117992.1968842235,-1985.992728583311,-1985.992720009177,8.574133971706033e-06,-1985.992720009177,,,2,segment between selected reference and payment-certified profile,5
82,q01,0.5844748596130233,106934.34765413735,106934.34765799288,107123.5085858007,-189.1609316633403,-189.16092780781037,3.855529939755797e-06,-189.16092780781037,,,2,segment between selected reference and payment-certified profile,5
82,q99,2.6930887095833507,110567.14865325238,110567.14867174816,111462.05322806416,-894.9045748117787,-894.9045563160034,1.8495775293558836e-05,-894.9045563160034,,,2,segment between selected reference and payment-certified profile,5
83,q01,0.5844748596130233,106449.07433595232,106449.0743369708,106496.55843237115,-47.48409641883336,-47.48409540034481,1.018488546833396e-06,-47.48409540034481,,,2,segment between selected reference and payment-certified profile,5
83,q99,2.6930887095833507,108292.0109368604,108292.01094159253,108514.34704848682,-222.33611162641319,-222.33610689429042,4.732122761197388e-06,-222.33610689429042,,,2,segment between selected reference and payment-certified profile,5
84,q01,0.5844748596130233,106398.3440561271,106398.34405783605,106435.82386532368,-37.47980919657857,-37.47980748763075,1.7089478205889463e-06,-37.47980748763075,,,2,segment between selected reference and payment-certified profile,5
84,q99,2.6930887095833507,108055.9800805529,108055.98008847827,108230.36980662732,-174.38972607442702,-174.38971814904653,7.925380486994982e-06,-174.38971814904653,,,2,segment between selected reference and payment-certified profile,5
85,q01,0.5844748596130233,107021.08615915394,107021.08616014382,107248.49742781407,-227.41126866012928,-227.4112676702498,9.898794814944267e-07,-227.4112676702498,,,2,segment between selected reference and payment-certified profile,5
85,q99,2.6930887095833507,111011.68219169354,111011.6821964506,112086.84150654484,-1075.1593148512911,-1075.159310094241,4.757050191983581e-06,-1075.159310094241,,,2,segment between selected reference and payment-certified profile,5
86,q01,0.5844748596130233,106869.8085702622,106870.4020063534,107049.40712912235,-179.59855886014702,-179.0051227689546,0.5934360911924159,-179.0051227689546,,,2,segment between selected reference and payment-certified profile,5
86,q99,2.6930887095833507,110272.52110574995,110275.29614030891,111124.49620335872,-851.9750976087671,-849.2000630498078,2.7750345589593053,-849.2000630498078,,,2,segment between selected reference and payment-certified profile,5
87,q01,0.5844748596130233,107393.18393122632,107407.66740382626,107762.32436431987,-369.1404330935475,-354.6569604936085,14.483472599938978,-354.6569604936085,,,2,segment between selected reference and payment-certified profile,5
87,q99,2.6930887095833507,112803.20479567324,112871.35352839304,114570.7228778607,-1767.5180821874528,-1699.3693494676554,68.14873271979741,-1699.3693494676554,,,2,segment between selected reference and payment-certified profile,5
88,q01,0.5844748596130233,106905.7065160996,106905.70652085144,107111.63172611427,-205.92521001466957,-205.92520526282897,4.751840606331825e-06,-205.92520526282897,,,2,segment between selected reference and payment-certified profile,5
88,q99,2.6930887095833507,110424.03931627396,110424.03933869788,111398.41358606976,-974.3742697957932,-974.3742473718739,2.2423919290304184e-05,-974.3742473718739,,,2,segment between selected reference and payment-certified profile,5
89,q01,0.5844748596130233,106534.61567758831,106534.6156803543,106596.08307572265,-61.46739813433669,-61.4673953683523,2.765984390862286e-06,-61.4673953683523,,,2,segment between selected reference and payment-certified profile,5
89,q99,2.6930887095833507,108690.11808621496,108690.11809910748,108979.84971448069,-289.7316282657266,-289.73161537320993,1.2892516679130495e-05,-289.73161537320993,,,2,segment between selected reference and payment-certified profile,5
90,q01,0.5844748596130233,106401.0516088292,106401.05161258494,106442.25553202443,-41.20392319522216,-41.203919439489255,3.7557329051196575e-06,-41.203919439489255,,,2,segment between selected reference and payment-certified profile,5
90,q99,2.6930887095833507,108068.363138337,108068.3631557516,108260.19548356229,-191.83234522529528,-191.83232781068364,1.7414611647836864e-05,-191.83232781068364,,,2,segment between selected reference and payment-certified profile,5
91,q01,0.5844748596130233,107336.64626941572,107336.64627017146,107534.6387289469,-197.99245953117497,-197.9924587754358,7.557391654700041e-07,-197.9924587754358,,,2,segment between selected reference and payment-certified profile,5
91,q99,2.6930887095833507,112518.8668148344,112518.86681851918,113472.8814093949,-954.0145945605036,-954.0145908757258,3.6847777664661407e-06,-954.0145908757258,,,2,segment between selected reference and payment-certified profile,5
92,q01,0.5844748596130233,106400.30221455469,106400.3022158718,106436.04085467971,-35.738640125025995,-35.738638807917596,1.3171083992347121e-06,-35.738638807917596,,,2,segment between selected reference and payment-certified profile,5
92,q99,2.6930887095833507,108065.4277441467,108065.42775025382,108233.00664934392,-167.57890519722423,-167.57889909010555,6.107118679210544e-06,-167.57889909010555,,,2,segment between selected reference and payment-certified profile,5
93,q01,0.5844748596130233,106364.41380042904,106364.41380203373,106383.21462964638,-18.800829217332648,-18.8008276126493,1.6046833479776978e-06,-18.8008276126493,,,2,segment between selected reference and payment-certified profile,5
93,q99,2.6930887095833507,107898.8517032278,107898.85171066925,107986.64429913345,-87.7925959056447,-87.79258846420271,7.441441994160414e-06,-87.79258846420271,,,2,segment between selected reference and payment-certified profile,5
94,q01,0.5844748596130233,106299.80589098106,106299.80589302351,106303.10921060806,-3.3033196269971086,-3.303317584548495,2.042448613792658e-06,-3.303317584548495,,,2,segment between selected reference and payment-certified profile,5
94,q99,2.6930887095833507,107599.42923862512,107599.42924808152,107614.70716549137,-15.277926866256166,-15.277917409854126,9.456402040086687e-06,-15.277917409854126,,,2,segment between selected reference and payment-certified profile,5
95,q01,0.5844748596130233,106489.34085546472,106489.34085547183,106533.78843263467,-44.44757716995082,-44.44757716283493,7.1158865466713905e-09,-44.44757716283493,,,2,segment between selected reference and payment-certified profile,5
95,q99,2.6930887095833507,108492.29937956684,108492.29937958354,108710.9363804297,-218.63700086285826,-218.6370008461672,1.669104676693678e-08,-218.63700086285826,,,2,segment between selected reference and payment-certified profile,5
96,q01,0.5844748596130233,106318.19853976303,106318.19854367642,106327.61029864138,-9.411758878341061,-9.411754964952706,3.913388354703784e-06,-9.411754964952706,,,2,segment between selected reference and payment-certified profile,5
96,q99,2.6930887095833507,107684.668176356,107684.6681944817,107728.2279353979,-43.559759041891084,-43.5597409162001,1.812569098547101e-05,-43.5597409162001,,,2,segment between selected reference and payment-certified profile,5
