day,baseline_method,mechanism,payment_usd,realized_grid_value_usd,payment_error_usd,absolute_percentage_value_error,overpayment_ratio,congestion_relief_index
70,Ex-post Quantile Gradient Boosting,Nodal exact net value,-997.6278663414996,108.51109470234223,-1106.1389610438418,10.193786765105463,0.0,0.0003957472040025528
70,Synthetic Control,Uniform gross,5464.497601616175,108.51109470234223,5355.986506913833,49.35888373079166,0.9801425304550871,0.0003957472040025528
70,Synthetic Control,Nodal gross,5464.0518318227,108.51109470234223,5355.540737120357,49.354775673503156,0.980140910437494,0.0003957472040025528
70,Synthetic Control,Uniform signed net,3076.3919512289963,108.51109470234223,2967.880856526654,27.350943833604067,0.9647278056819149,0.0003957472040025528
70,Synthetic Control,Nodal signed linear,3075.9361669725436,108.51109470234223,2967.4250722702013,27.346743486554733,0.964722579139494,0.0003957472040025528
70,Synthetic Control,Nodal exact net value,3064.985079600592,108.51109470234223,2956.47398489825,27.245822125453444,0.9645965341154343,0.0003957472040025528
70,Feasible Quantile Projection,Uniform gross,773.337359461365,108.51109470234223,664.8262647590228,6.1268045132409155,0.8596846597739427,0.0003957472040025528
70,Feasible Quantile Projection,Nodal gross,773.3161036363795,108.51109470234223,664.8050089340372,6.126608627050255,0.859680802983297,0.0003957472040025528
70,Feasible Quantile Projection,Uniform signed net,4.340207124658792,108.51109470234223,-104.17088757768344,0.9600021810067952,0.0,0.0003957472040025528
70,Feasible Quantile Projection,Nodal signed linear,4.331091905532102,108.51109470234223,-104.18000279681013,0.9600861836532683,0.0,0.0003957472040025528
70,Feasible Quantile Projection,Nodal exact net value,4.33109190552932,108.51109470234223,-104.18000279681291,0.9600861836532939,0.0,0.0003957472040025528
70,Tail-Risk Feasible Counterfactual,Uniform gross,798.374162424365,108.51109470234223,689.8630677220227,6.357534864194231,0.8640849118002085,0.0003957472040025528
70,Tail-Risk Feasible Counterfactual,Nodal gross,798.3540168538069,108.51109470234223,689.8429221514647,6.357349209717025,0.8640814821349956,0.0003957472040025528
70,Tail-Risk Feasible Counterfactual,Uniform signed net,17.42678962997804,108.51109470234223,-91.0843050723642,0.8394008494911823,0.0,0.0003957472040025528
70,Tail-Risk Feasible Counterfactual,Nodal signed linear,17.4202110477582,108.51109470234223,-91.09088365458403,0.839461475386054,0.0,0.0003957472040025528
70,Tail-Risk Feasible Counterfactual,Nodal exact net value,17.420211047734483,108.51109470234223,-91.09088365460775,0.8394614753862725,0.0,0.0003957472040025528
70,Single Feasible Projection,Uniform gross,679.6003886714781,108.51109470234223,571.0892939691358,5.262957631527874,0.8403310290706779,0.0003957472040025528
70,Single Feasible Projection,Nodal gross,679.583657979514,108.51109470234223,571.0725632771718,5.262803447368087,0.84032709817514,0.0003957472040025528
70,Single Feasible Projection,Uniform signed net,4.340207124658792,108.51109470234223,-104.17088757768344,0.9600021810067952,0.0,0.0003957472040025528
70,Single Feasible Projection,Nodal signed linear,4.337616805712091,108.51109470234223,-104.17347789663015,0.9600260524731536,0.0,0.0003957472040025528
70,Single Feasible Projection,Nodal exact net value,4.337616805714788,108.51109470234223,-104.17347789662745,0.9600260524731288,0.0,0.0003957472040025528
70,Risk-Constrained Convex Verifier,Uniform gross,679.6003886714781,108.51109470234223,571.0892939691358,5.262957631527874,0.8403310290706779,0.0003957472040025528
70,Risk-Constrained Convex Verifier,Nodal gross,679.583657979514,108.51109470234223,571.0725632771718,5.262803447368087,0.84032709817514,0.0003957472040025528
70,Risk-Constrained Convex Verifier,Uniform signed net,4.340207124658792,108.51109470234223,-104.17088757768344,0.9600021810067952,0.0,0.0003957472040025528
70,Risk-Constrained Convex Verifier,Nodal signed linear,4.337616805712091,108.51109470234223,-104.17347789663015,0.9600260524731536,0.0,0.0003957472040025528
70,Risk-Constrained Convex Verifier,Nodal exact net value,4.337616805714788,108.51109470234223,-104.17347789662745,0.9600260524731288,0.0,0.0003957472040025528
70,Trace-Anchored Reference,Uniform gross,772.8188360073831,108.51109470234223,664.3077413050408,6.1220259838619215,0.8595905150773194,0.0003957472040025528
70,Trace-Anchored Reference,Nodal gross,772.8030653370771,108.51109470234223,664.2919706347349,6.1218806469233416,0.8595876497267613,0.0003957472040025528
70,Trace-Anchored Reference,Uniform signed net,107.86737537478045,108.51109470234223,-0.643719327561783,0.005932290419957289,0.0,0.0003957472040025528
70,Trace-Anchored Reference,Nodal signed linear,107.86468891056663,108.51109470234223,-0.6464057917756065,0.005957047927207518,0.0,0.0003957472040025528
70,Trace-Anchored Reference,Nodal exact net value,107.86288763819175,108.51109470234223,-0.6482070641504833,0.0059736478184888465,0.0,0.0003957472040025528
71,High-5-of-10,Uniform gross,9494.206340308207,2144.7637192509137,7349.442621057293,3.426691040644878,0.7740976293989742,1.942890293094024e-16
71,High-5-of-10,Nodal gross,10771.318742671006,2144.7637192509137,8626.555023420093,4.022147029992203,0.8008819745762098,1.942890293094024e-16
71,High-5-of-10,Uniform signed net,6139.476396947921,2144.7637192509137,3994.712677697007,1.8625420795033831,0.6506601572216929,1.942890293094024e-16
71,High-5-of-10,Nodal signed linear,7514.851709798273,2144.7637192509137,5370.087990547359,2.503813330273477,0.7145966677619927,1.942890293094024e-16
71,High-5-of-10,Nodal exact net value,5772.3870510660745,2144.7637192509137,3627.623331815161,1.6913860017560138,0.6284442293496574,1.942890293094024e-16
71,Ridge,Uniform gross,5629.100340876893,2144.7637192509137,3484.336621625979,1.6245783115181232,0.6189864117936819,1.942890293094024e-16
71,Ridge,Nodal gross,5628.726087471742,2144.7637192509137,3483.9623682208285,1.6244038151846616,0.6189610782403024,1.942890293094024e-16
71,Ridge,Uniform signed net,3029.7249861902806,2144.7637192509137,884.9612669393669,0.41261480646849574,0.29209293614868953,1.942890293094024e-16
71,Ridge,Nodal signed linear,3029.3548700665697,2144.7637192509137,884.591150815656,0.4124422391500593,0.29200644650661783,1.942890293094024e-16
71,Ridge,Nodal exact net value,3016.119983158642,2144.7637192509137,871.3562639077281,0.4062714489650452,0.28889973501491717,1.942890293094024e-16
71,Gradient Boosting,Uniform gross,3949.684499395869,2144.7637192509137,1804.9207801449552,0.8415476091582466,0.45697847015907983,1.942890293094024e-16
71,Gradient Boosting,Nodal gross,3949.3802398408475,2144.7637192509137,1804.6165205899338,0.8414057475852021,0.4569366358764828,1.942890293094024e-16
71,Gradient Boosting,Uniform signed net,948.098236573566,2144.7637192509137,-1196.6654826773477,0.5579474661643841,0.0,1.942890293094024e-16
71,Gradient Boosting,Nodal signed linear,947.7934966665673,2144.7637192509137,-1196.9702225843464,0.5580895517024148,0.0,1.942890293094024e-16
71,Gradient Boosting,Nodal exact net value,946.9802901584699,2144.7637192509137,-1197.7834290924438,0.5584687107215638,0.0,1.942890293094024e-16
71,Extra Trees,Uniform gross,4708.193908331422,2144.7637192509137,2563.430189080508,1.1952040059572713,0.5444614726985586,1.942890293094024e-16
71,Extra Trees,Nodal gross,4707.7662415880095,2144.7637192509137,2563.002522337096,1.1950046055573234,0.5444200902958494,1.942890293094024e-16
71,Extra Trees,Uniform signed net,1403.4182452488,2144.7637192509137,-741.3454740021136,0.34565368079847886,0.0,1.942890293094024e-16
71,Extra Trees,Nodal signed linear,1402.9935713066716,2144.7637192509137,-741.7701479442421,0.3458516857993639,0.0,1.942890293094024e-16
71,Extra Trees,Nodal exact net value,1402.6661629066657,2144.7637192509137,-742.097556344248,0.3460043405636473,0.0,1.942890293094024e-16
71,Metadata Gradient Boosting,Uniform gross,5150.88202869228,2144.7637192509137,3006.1183094413664,1.401608150333358,0.5836123391481688,1.942890293094024e-16
71,Metadata Gradient Boosting,Nodal gross,5150.528451937423,2144.7637192509137,3005.764732686509,1.4014432945258468,0.5835837547030461,1.942890293094024e-16
71,Metadata Gradient Boosting,Uniform signed net,2254.7088452690123,2144.7637192509137,109.94512601809856,0.051262115743219636,0.04876244941726871,1.942890293094024e-16
71,Metadata Gradient Boosting,Nodal signed linear,2254.3553001043047,2144.7637192509137,109.59158085339095,0.051097274664673654,0.048613269101068654,1.942890293094024e-16
71,Metadata Gradient Boosting,Nodal exact net value,2253.051602236068,2144.7637192509137,108.28788298515428,0.050489423153323026,0.04806276202359621,1.942890293094024e-16
71,Ex-post Metadata Gradient Boosting,Uniform gross,5036.360000669228,2144.7637192509137,2891.596281418314,1.348212045673843,0.5741440804537564,1.942890293094024e-16
71,Ex-post Metadata Gradient Boosting,Nodal gross,5036.016756388633,2144.7637192509137,2891.2530371377197,1.348052007401322,0.5741150550124579,1.942890293094024e-16
71,Ex-post Metadata Gradient Boosting,Uniform signed net,2250.5359747643693,2144.7637192509137,105.77225551345555,0.049316507251622975,0.046998695732704245,1.942890293094024e-16
71,Ex-post Metadata Gradient Boosting,Nodal signed linear,2250.1901321374094,2144.7637192509137,105.42641288649565,0.049155257495365125,0.04685222434352837,1.942890293094024e-16
71,Ex-post Metadata Gradient Boosting,Nodal exact net value,2248.8864342691595,2144.7637192509137,104.1227150182458,0.04854740598400834,0.04629967677851349,1.942890293094024e-16
71,Ex-post Quantile Gradient Boosting,Uniform gross,908.3371120042303,2144.7637192509137,-1236.4266072466835,0.5764861630905065,0.0,1.942890293094024e-16
71,Ex-post Quantile Gradient Boosting,Nodal gross,908.3016643401336,2144.7637192509137,-1236.4620549107801,0.5765026906286117,0.0,1.942890293094024e-16
71,Ex-post Quantile Gradient Boosting,Uniform signed net,-1997.6775375584705,2144.7637192509137,-4142.441256809384,1.9314207992366565,0.0,1.942890293094024e-16
