peak_dc_penetration,assignment_id,assignment_type,region_to_bus_mapping,counterfactual_method,mean_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,mean_lmp_spread_usd_per_mwh
0.06,3,one-to-one permutation,15-80-116-42,Single Feasible Projection,211.67766406021352,187.47095004386526,1.000000000000001,0.13702032478508816
0.06,3,one-to-one permutation,15-80-116-42,Trace-Anchored Reference,64.6613687867848,57.253856120251605,1.000000000000001,0.1441868043669387
0.06,4,one-to-one permutation,15-116-42-80,Feasible Quantile Projection,164.0588355288468,139.10026234593863,1.000000000000001,0.1417979778396552
0.06,4,one-to-one permutation,15-116-42-80,Risk-Constrained Convex Verifier,198.75764440558683,174.45033178802467,1.000000000000001,0.139409151312375
0.06,4,one-to-one permutation,15-116-42-80,Single Feasible Projection,211.5853314710966,187.3125661401841,1.000000000000001,0.13702032478508816
0.06,4,one-to-one permutation,15-116-42-80,Trace-Anchored Reference,64.60829959464098,57.1345709809796,1.000000000000001,0.1441868043669387
0.06,5,one-to-one permutation,15-116-80-42,Feasible Quantile Projection,164.08138676754444,139.12202828648466,1.000000000000001,0.1417979778396552
0.06,5,one-to-one permutation,15-116-80-42,Risk-Constrained Convex Verifier,198.7715541323468,174.4642683132551,1.000000000000001,0.13702032478509135
0.06,5,one-to-one permutation,15-116-80-42,Single Feasible Projection,211.5979597747324,187.32519444381919,1.000000000000001,0.13702032478508816
0.06,5,one-to-one permutation,15-116-80-42,Trace-Anchored Reference,64.58865935651077,57.11368257974492,1.000000000000001,0.1441868043669387
0.06,6,one-to-one permutation,42-15-80-116,Feasible Quantile Projection,164.0588046605246,139.0748169953677,1.000000000000001,0.1417979778396552
0.06,6,one-to-one permutation,42-15-80-116,Risk-Constrained Convex Verifier,198.74365097775032,174.41530727949768,1.000000000000001,0.13702032478509135
0.06,6,one-to-one permutation,42-15-80-116,Single Feasible Projection,211.56968314236994,187.27631946102755,1.000000000000001,0.13702032478508816
0.06,6,one-to-one permutation,42-15-80-116,Trace-Anchored Reference,64.56714519670014,57.07161760116664,1.000000000000001,0.1441868043669387
0.06,7,one-to-one permutation,42-15-116-80,Feasible Quantile Projection,164.0397782036078,139.0564530936945,1.000000000000001,0.1417979778396552
0.06,7,one-to-one permutation,42-15-116-80,Risk-Constrained Convex Verifier,198.73230049314225,174.40393418499636,1.000000000000001,0.139409151312375
0.06,7,one-to-one permutation,42-15-116-80,Single Feasible Projection,211.5590286555689,187.26566497422687,1.000000000000001,0.13702032478508816
0.06,7,one-to-one permutation,42-15-116-80,Trace-Anchored Reference,64.58371564543019,57.089241123824955,1.000000000000001,0.1441868043669387
0.06,8,one-to-one permutation,42-80-15-116,Feasible Quantile Projection,164.11516637739138,139.2307525010422,1.000000000000001,0.1417979778396552
0.06,8,one-to-one permutation,42-80-15-116,Risk-Constrained Convex Verifier,198.8351460355429,174.5911947547332,1.000000000000001,0.13702032478509135
0.06,8,one-to-one permutation,42-80-15-116,Single Feasible Projection,211.66809213690706,187.45740268264927,1.000000000000001,0.13702032478508816
0.06,8,one-to-one permutation,42-80-15-116,Trace-Anchored Reference,64.65684368635684,57.24574963431951,1.000000000000001,0.1441868043669387
0.06,9,one-to-one permutation,42-80-116-15,Feasible Quantile Projection,164.1198330550612,139.23525667174835,1.000000000000001,0.1417979778396552
0.06,9,one-to-one permutation,42-80-116-15,Risk-Constrained Convex Verifier,198.83838538779673,174.59443965257339,1.000000000000001,0.13702032478509135
0.06,9,one-to-one permutation,42-80-116-15,Single Feasible Projection,211.67070539568934,187.46001594143235,1.000000000000001,0.13702032478508816
0.06,9,one-to-one permutation,42-80-116-15,Trace-Anchored Reference,64.65277940137592,57.24142705865422,1.000000000000001,0.1441868043669387
0.06,10,one-to-one permutation,42-116-15-80,Feasible Quantile Projection,164.0502011426383,139.08682753847413,1.000000000000001,0.1417979778396552
