peak_dc_penetration,assignment_id,assignment_type,region_to_bus_mapping,counterfactual_method,mean_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,mean_lmp_spread_usd_per_mwh
0.06,17,one-to-one permutation,80-116-42-15,Feasible Quantile Projection,163.8955020010016,138.82946359535916,1.000000000000001,0.1417979778396552
0.06,17,one-to-one permutation,80-116-42-15,Risk-Constrained Convex Verifier,198.59904169735503,174.19980831731084,1.000000000000001,0.139409151312375
0.06,17,one-to-one permutation,80-116-42-15,Single Feasible Projection,211.4330742650796,187.07078630743987,1.000000000000001,0.13702032478508816
0.06,17,one-to-one permutation,80-116-42-15,Trace-Anchored Reference,64.42220665130056,56.861772323322064,1.000000000000001,0.1441868043669387
0.06,18,one-to-one permutation,116-15-42-80,Feasible Quantile Projection,164.01298957026793,139.01354305712138,1.000000000000001,0.1417979778396552
0.06,18,one-to-one permutation,116-15-42-80,Risk-Constrained Convex Verifier,198.708042426225,174.36574029943418,1.000000000000001,0.139409151312375
0.06,18,one-to-one permutation,116-15-42-80,Single Feasible Projection,211.53543879013813,187.22850024793897,1.000000000000001,0.13702032478508816
0.06,18,one-to-one permutation,116-15-42-80,Trace-Anchored Reference,64.56013570907386,57.0527004823949,1.000000000000001,0.1441868043669387
0.06,19,one-to-one permutation,116-15-80-42,Feasible Quantile Projection,164.03828410332613,139.03805229202825,1.000000000000001,0.1417979778396552
0.06,19,one-to-one permutation,116-15-80-42,Risk-Constrained Convex Verifier,198.72366023329474,174.38138490503533,1.000000000000001,0.13702032478509135
0.06,19,one-to-one permutation,116-15-80-42,Single Feasible Projection,211.55081038813384,187.24387184593508,1.000000000000001,0.13702032478508816
0.06,19,one-to-one permutation,116-15-80-42,Trace-Anchored Reference,64.54323876530442,57.03455537552172,1.000000000000001,0.1441868043669387
0.06,20,one-to-one permutation,116-42-15-80,Feasible Quantile Projection,164.0155525569553,139.02130697493124,1.000000000000001,0.1417979778396552
0.06,20,one-to-one permutation,116-42-15-80,Risk-Constrained Convex Verifier,198.71234427632638,174.37451141210295,1.000000000000001,0.139409151312375
0.06,20,one-to-one permutation,116-42-15-80,Single Feasible Projection,211.5400282547231,187.23747616551137,1.000000000000001,0.13702032478508816
0.06,20,one-to-one permutation,116-42-15-80,Trace-Anchored Reference,64.56430536893903,57.06134138589335,1.000000000000001,0.1441868043669387
0.06,21,one-to-one permutation,116-42-80-15,Feasible Quantile Projection,164.0403024887899,139.04523184455792,1.000000000000001,0.1417979778396552
0.06,21,one-to-one permutation,116-42-80-15,Risk-Constrained Convex Verifier,198.72702262164972,174.3892179129181,1.000000000000001,0.13702032478509135
0.06,21,one-to-one permutation,116-42-80-15,Single Feasible Projection,211.55435279755363,187.2518007083419,1.000000000000001,0.13702032478508816
0.06,21,one-to-one permutation,116-42-80-15,Trace-Anchored Reference,64.54472743247553,57.04045208481653,1.000000000000001,0.1441868043669387
0.06,22,one-to-one permutation,116-80-15-42,Feasible Quantile Projection,164.0920387056034,139.1926842404078,1.000000000000001,0.1417979778396552
0.06,22,one-to-one permutation,116-80-15-42,Risk-Constrained Convex Verifier,198.81254817620652,174.55596882283027,1.000000000000001,0.13702032478509135
0.06,22,one-to-one permutation,116-80-15-42,Single Feasible Projection,211.64661226808178,187.42365151026206,1.000000000000001,0.13702032478508816
0.06,22,one-to-one permutation,116-80-15-42,Trace-Anchored Reference,64.63033014037184,57.20738385137971,1.000000000000001,0.1441868043669387
