day,conversion_scenario,conversion_scale_factor,event_slot,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,absolute_error_usd,overpayment_usd,maximum_post_contingency_loading,credible_line_contingencies,evaluation_schema_version,certified_checksum,payment_evaluation_profile_checksum,certificate_used_scale
61,heldout-interior-high,1.2,70,Risk-Constrained Convex Verifier,2.191191999158036,-1.095991823633085,3.287183822791121,3.287183822791121,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,70,Payment-Certified N-1 Verifier,-0.3583314111801883,-1.095991823633085,0.7376604124528967,0.7376604124528967,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,71,Feasible Quantile Projection,-11.204725797855644,-11.70252889112453,0.4978030932688853,0.4978030932688853,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,71,Single Feasible Projection,-10.675051908547175,-11.70252889112453,1.0274769825773546,1.0274769825773546,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,71,Risk-Constrained Convex Verifier,-10.675051573132803,-11.70252889112453,1.0274773179917247,1.0274773179917247,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,71,Payment-Certified N-1 Verifier,-10.67505194493424,-11.70252889112453,1.0274769461902906,1.0274769461902906,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,64,Feasible Quantile Projection,-14.764684101775856,1.2160124159636323,15.980696517739489,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,64,Single Feasible Projection,-15.273478509829149,1.2160124159636323,16.48949092579278,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,64,Risk-Constrained Convex Verifier,-15.273478474735384,1.2160124159636323,16.489490890699017,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,64,Payment-Certified N-1 Verifier,-15.27347854742402,1.2160124159636323,16.489490963387652,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
