day,slot,method,flexible_profile_mw,network_dc_scale,mapped_dc_load_mw,secure_cost_usd_per_interval,max_base_loading,max_postcontingency_loading,credible_contingencies,evaluated_finite_nonislanding_outages,solver_success,post_solution_profile_reoptimization
94,69,Risk-Constrained Convex Verifier,0.38169523586533405,0.1573939030950884,3.8375301772477672,13265.549700905549,0.751617850027034,1.000000000000002,37,37,True,False
94,70,Risk-Constrained Convex Verifier,0.38209077496985877,0.1573939030950884,3.837592432691255,13265.482253655862,0.7516151186978436,1.000000000000002,37,37,True,False
94,71,Risk-Constrained Convex Verifier,0.17115542108612392,0.1573939030950884,3.8043924940427503,13265.33791994258,0.7516197233083726,1.000000000000002,37,37,True,False
94,64,Single Feasible Projection,0.47543800363721456,0.1573939030950884,3.85228471735432,13265.602200709662,0.7516131751380467,1.0000000000000022,37,37,True,False
94,65,Single Feasible Projection,1.0494782554734945,0.1573939030950884,3.942635153124519,13266.196426455885,0.7516099010959292,1.000000000000002,37,37,True,False
94,66,Single Feasible Projection,0.8379213401397969,0.1573939030950884,3.909337384493392,13266.158867022601,0.7516142587169858,1.0000000000000022,37,37,True,False
94,67,Single Feasible Projection,0.6585161034452227,0.1573939030950884,3.8811000940543345,13265.848503519219,0.751619261599466,1.000000000000002,37,37,True,False
94,68,Single Feasible Projection,0.5295138497842098,0.1573939030950884,3.860795925842565,13265.716766814061,0.7516179356716004,1.0000000000000022,37,37,True,False
94,69,Single Feasible Projection,0.38169523586515197,0.1573939030950884,3.8375301772477384,13265.573481399364,0.7516208004577375,1.000000000000002,37,37,True,False
94,70,Single Feasible Projection,0.3820907749696758,0.1573939030950884,3.8375924326912263,13265.486714383289,0.7516172940650956,1.0000000000000022,37,37,True,False
94,71,Single Feasible Projection,0.17115542108594184,0.1573939030950884,3.804392494042721,13265.342132574231,0.7516209739438703,1.000000000000002,37,37,True,False
95,64,Risk-Constrained Convex Verifier,4.095124717529831,0.1573939030950884,4.422001337235313,13268.4453225461,0.7515558565534529,1.0000000000000022,37,37,True,False
95,65,Risk-Constrained Convex Verifier,0.9830841915001001,0.1573939030950884,3.9321851322534016,13266.042622081372,0.7516014916755978,1.0000000000000022,37,37,True,False
95,66,Risk-Constrained Convex Verifier,2.965978228062643,0.1573939030950884,4.244280564091955,13267.948961462063,0.7515866533949261,1.0000000000000022,37,37,True,False
95,67,Risk-Constrained Convex Verifier,3.896116685142778,0.1573939030950884,4.3906786862706415,13268.603366130304,0.7515646735089292,1.0000000000000022,37,37,True,False
95,68,Risk-Constrained Convex Verifier,2.757585625565131,0.1573939030950884,4.211480839008729,13267.87293551119,0.7515656296191328,1.0000000000000022,37,37,True,False
95,69,Risk-Constrained Convex Verifier,4.2604647059952585,0.1573939030950884,4.448024843357584,13268.886745007248,0.75154706666325,1.000000000000002,37,37,True,False
95,70,Risk-Constrained Convex Verifier,2.3671885294004618,0.1573939030950884,4.150034716286382,13267.127776654645,0.7515775397255929,1.000000000000002,37,37,True,False
95,71,Risk-Constrained Convex Verifier,1.0032001802444332,0.1573939030950884,3.9353512662364896,13266.24231032141,0.7516117662764389,1.0000000000000022,37,37,True,False
95,64,Single Feasible Projection,4.095124717529622,0.1573939030950884,4.42200133723528,13268.574664353222,0.7515805269168431,1.000000000000002,37,37,True,False
95,65,Single Feasible Projection,0.9830841914999127,0.1573939030950884,3.9321851322533723,13266.090338664631,0.7516061569395077,1.000000000000002,37,37,True,False
95,66,Single Feasible Projection,2.9659782280624416,0.1573939030950884,4.244280564091924,13268.155794551072,0.7516081277240653,1.0000000000000022,37,37,True,False
95,67,Single Feasible Projection,3.8961166851425695,0.1573939030950884,4.390678686270609,13268.816415051586,0.7515897475150455,1.0000000000000022,37,37,True,False
95,68,Single Feasible Projection,2.757585625564932,0.1573939030950884,4.211480839008698,13268.098515618047,0.7515788943024474,1.0000000000000022,37,37,True,False
95,69,Single Feasible Projection,4.260464705995048,0.1573939030950884,4.448024843357551,13269.109943271062,0.7515709838200697,1.000000000000002,37,37,True,False
95,70,Single Feasible Projection,2.3671885294002646,0.1573939030950884,4.150034716286353,13267.216514140597,0.7515900595189124,1.000000000000002,37,37,True,False
95,71,Single Feasible Projection,1.0032001802442458,0.1573939030950884,3.9353512662364607,13266.343095477841,0.7516195764028594,1.000000000000002,37,37,True,False
96,64,Risk-Constrained Convex Verifier,1.5201854150391192,0.1573939030950884,4.016721590183356,13266.712101863273,0.7515988291794029,1.0000000000000022,37,37,True,False
96,65,Risk-Constrained Convex Verifier,0.9800328898366315,0.1573939030950884,3.9317048759750675,13265.97855558836,0.7516088788932939,1.0000000000000022,37,37,True,False
96,66,Risk-Constrained Convex Verifier,4.317099985814102,0.1573939030950884,4.456938891101155,13268.975113565153,0.7515538976485869,1.0000000000000022,37,37,True,False
96,67,Risk-Constrained Convex Verifier,1.284202461215183,0.1573939030950884,3.9795793120170986,13266.36953721871,0.7516022232527952,1.0000000000000022,37,37,True,False
96,68,Risk-Constrained Convex Verifier,1.2224983609095217,0.1573939030950884,3.9698674628330197,13266.410139797164,0.7516027017680197,1.000000000000002,37,37,True,False
96,69,Risk-Constrained Convex Verifier,0.5432447072699933,0.1573939030950884,3.8629570790950947,13265.570569365795,0.7516121426273742,1.0000000000000022,37,37,True,False
96,70,Risk-Constrained Convex Verifier,1.5860553035529579,0.1573939030950884,4.027089109032987,13266.672476130207,0.7516017682597492,1.0000000000000022,37,37,True,False
96,71,Risk-Constrained Convex Verifier,0.6732640614854937,0.1573939030950884,3.883421332732975,13265.757675779294,0.7516107839584685,1.000000000000002,37,37,True,False
96,64,Single Feasible Projection,1.5201854150389291,0.1573939030950884,4.016721590183326,13266.846602250243,0.7516084345455031,1.000000000000002,37,37,True,False
96,65,Single Feasible Projection,0.9800328898364441,0.1573939030950884,3.9317048759750386,13266.008585793592,0.7516156193843098,1.000000000000002,37,37,True,False
96,66,Single Feasible Projection,4.31709998581389,0.1573939030950884,4.456938891101121,13269.212533987687,0.7515803647315648,1.000000000000002,37,37,True,False
96,67,Single Feasible Projection,1.2842024612149947,0.1573939030950884,3.979579312017069,13266.452093668962,0.7516102927098316,1.0000000000000022,37,37,True,False
