day,slot,baseline_method,nodal_signed_linear_usd,nodal_exact_net_value_usd,polyhedral_bregman_gap_usd,subgradient_inequality_violation_usd
67,70,Gradient Boosting,401.32204651444795,399.8244261232576,1.4976203911903667,0.0
67,70,Extra Trees,413.2834914567085,411.78587106551277,1.49762039119571,0.0
67,70,Metadata Gradient Boosting,326.25000366621,324.75238327501575,1.497620391194232,0.0
67,70,Ex-post Metadata Gradient Boosting,420.45035630513786,418.9527359139465,1.497620391191333,0.0
67,70,Ex-post Quantile Gradient Boosting,172.4649897152133,170.96736932401836,1.4976203911949426,0.0
67,70,Synthetic Control,373.1782650489301,371.68064465773205,1.4976203911980406,0.0
67,70,Feasible Quantile Projection,8.258229881056105,8.258229881052102,4.002131959168764e-12,0.0
67,70,Tail-Risk Feasible Counterfactual,2.3055340800661015,2.3055340800674458,-1.3442580382161395e-12,1.3442580382161395e-12
67,70,Single Feasible Projection,-0.014603367392619138,-0.014603367391828215,-7.909228827429615e-13,7.909228827429615e-13
67,70,Risk-Constrained Convex Verifier,-0.014603367392619138,-0.014603367391828215,-7.909228827429615e-13,7.909228827429615e-13
67,70,Trace-Anchored Reference,136.09807017724762,134.60044978604856,1.4976203911990638,0.0
67,71,High-5-of-10,2184.4906469001535,1197.261874876669,987.2287720234845,0.0
67,71,Ridge,1813.5202447339084,826.2914727104253,987.2287720234831,0.0
67,71,Gradient Boosting,395.8534592370741,394.31548667790776,1.5379725591663487,0.0
67,71,Extra Trees,436.3057973415704,434.7678247824042,1.5379725591661781,0.0
67,71,Metadata Gradient Boosting,317.7049921902674,316.16701963110245,1.5379725591649276,0.0
67,71,Ex-post Metadata Gradient Boosting,411.9053448291952,410.36737227003323,1.5379725591619717,0.0
67,71,Ex-post Quantile Gradient Boosting,164.03826603492394,162.500293475754,1.5379725591699298,0.0
67,71,Synthetic Control,299.8352542414515,298.2972816822876,1.5379725591639044,0.0
67,71,Feasible Quantile Projection,-0.007884946625196898,-0.00788494663356687,8.369971382649055e-12,0.0
67,71,Tail-Risk Feasible Counterfactual,-0.00788436150225255,-0.007884361511969473,9.716923446423387e-12,0.0
67,71,Single Feasible Projection,-0.007884946625196898,-0.00788494663356687,8.369971382649055e-12,0.0
