day,baseline_method,gross_to_signed_error_reduction_usd,uniform_to_nodal_error_reduction_usd,linear_to_exact_error_reduction_usd,uniform_gross_to_exact_error_reduction_usd
97,Feasible Quantile Projection,-36.48696962325704,3.8502703915810343e-05,-5.5706550483591855e-12,-36.4879141058224
98,Feasible Quantile Projection,-36.35417698877066,-0.0001500329435941694,-9.066525308298878e-12,-36.355146041245945
99,Feasible Quantile Projection,-34.21841650047432,0.0007096688986507615,1.5802470443304628e-11,-34.21832620655661
100,Feasible Quantile Projection,-15.944533552958546,-0.001239354250856195,9.890754881780595e-12,-15.944606381856602
101,Feasible Quantile Projection,1150.429210145298,0.022526544952143013,17.84744422656229,1168.3232465389847
102,Feasible Quantile Projection,281.7865513004684,0.002969691954604059,-1.5404566511278972e-11,281.8037027086027
103,Feasible Quantile Projection,-67.38809161069065,-3.037272563233273e-06,-3.467448550509289e-12,-67.38811122822881
104,Feasible Quantile Projection,-2.5065486678432762,-1.8247410537242104e-05,5.684341886080802e-14,-2.5066665266131736
105,Feasible Quantile Projection,40.34054883346873,3.411730830293891e-06,-2.1174173525650986e-12,40.340570869601464
106,Feasible Quantile Projection,-19.132772415318897,-1.4294795562364015e-05,-1.8189894035458565e-12,-19.13303533734944
107,Feasible Quantile Projection,-135.6961434878412,-0.00017056945588933559,7.673861546209082e-13,-135.69079091496064
108,Feasible Quantile Projection,-25.13695467932564,-7.834498967440595e-05,1.0459189070388675e-11,-25.137460704216437
109,Feasible Quantile Projection,358.20171429120523,0.006742002465585983,0.25893403590069397,358.49318516649936
110,Feasible Quantile Projection,-68.57908527503349,-0.0004739318365523104,3.467448550509289e-12,-68.58094315492585
111,Feasible Quantile Projection,-121.8237008368045,-0.0007795056511668008,-0.05164697405439256,-121.87826758014728
112,Feasible Quantile Projection,-121.21082312943508,-0.0007446295223871857,-5.4569682106375694e-12,-121.21563264032397
113,Feasible Quantile Projection,219.12162392612925,-0.003415505915725703,-2.4442670110147446e-11,219.14368444396155
114,Feasible Quantile Projection,-317.9481401213669,-0.001629395301392833,-0.08577136143765074,-318.03724069674524
61,Tail-Risk Feasible Counterfactual,-523.9451964160463,-0.01583488780920561,-0.017641343788454833,-524.008313106023
62,Tail-Risk Feasible Counterfactual,1780.5742039015847,0.055233688924907653,1.254818471352337e-11,1780.6957916565989
63,Tail-Risk Feasible Counterfactual,-1131.7632901004486,-0.06801177064721742,-0.4271547195567109,-1132.101413297791
64,Tail-Risk Feasible Counterfactual,638.7844632476983,-0.0549542496956974,-0.06868877169040388,638.8643829935068
65,Tail-Risk Feasible Counterfactual,-312.7799910608939,-0.03745977282039803,-2.7398527890909463e-11,-312.751855292328
66,Tail-Risk Feasible Counterfactual,575.0152423721082,-0.02397440552488206,-13.46167843561068,561.5840081773381
67,Tail-Risk Feasible Counterfactual,-43.29791900263035,-0.010854152723823063,-0.480548104520949,-43.78992870904176
68,Tail-Risk Feasible Counterfactual,430.3708516003767,-0.016075554619305876,-2.297895207448164e-11,430.418386459983
69,Tail-Risk Feasible Counterfactual,1532.4470256759728,-0.06271897948565197,-9.265477274311706e-12,1532.5801642632289
70,Tail-Risk Feasible Counterfactual,991.5732653977328,-0.019746488440802068,-0.038807938189023616,991.5781158269617
71,Tail-Risk Feasible Counterfactual,-1728.6234486154337,-0.050354390051779774,-0.06009029070537508,-1728.8196746855988
72,Tail-Risk Feasible Counterfactual,598.0625769229708,-0.03371533042701458,1.1482370609883219e-11,598.130787147941
73,Tail-Risk Feasible Counterfactual,618.9303311951601,-0.040567680240656045,-0.012203553356187058,619.0318004694805
74,Tail-Risk Feasible Counterfactual,-305.21718696609344,-0.0516126852448906,-0.044161568613731106,-305.14883169574387
75,Tail-Risk Feasible Counterfactual,1990.4254309128319,0.04160143849256315,13.475960516179782,2004.0057481606837
76,Tail-Risk Feasible Counterfactual,-264.27670428236615,-0.014852399671440253,-2.205524651799351e-11,-264.24012792442227
77,Tail-Risk Feasible Counterfactual,-60.54482468967649,-0.003683535662048598,9.094947017729282e-13,-60.54836145219133
78,Tail-Risk Feasible Counterfactual,63.01844334953273,-0.009150230015961824,2.5863755581667647e-11,63.04151071001928
79,Tail-Risk Feasible Counterfactual,1568.002125927546,2.4176786477789847,3.2967261599658286,1579.1656535156571
80,Tail-Risk Feasible Counterfactual,-72.83839711015685,-0.05493816261605389,2.5693225325085223e-11,-72.73168949083856
81,Tail-Risk Feasible Counterfactual,2663.86243180533,0.14692119182859642,7.679595769328444,2671.821935886613
82,Tail-Risk Feasible Counterfactual,165.61172610912308,-0.03408188816473512,-0.025340446075688305,165.6540681906738
83,Tail-Risk Feasible Counterfactual,-250.0027825172375,-0.007390155569794388,-0.04816598597091115,-250.0638606464629
84,Tail-Risk Feasible Counterfactual,-162.16900384163978,-0.004101301584000794,-3.8198777474462986e-11,-162.17729906625118
85,Tail-Risk Feasible Counterfactual,828.5325641409877,-0.055552410171600286,-0.0023641178974855848,828.610653157748
86,Tail-Risk Feasible Counterfactual,627.6464773336564,-0.03920206698884954,-5.5706550483591855e-12,627.7343648743071
87,Tail-Risk Feasible Counterfactual,1022.8882807051891,-0.061476214286642517,-0.30722651981614035,1022.7123880707709
88,Tail-Risk Feasible Counterfactual,461.98718893046225,-0.03340434892788835,-0.12578342275946852,461.93384040552974
89,Tail-Risk Feasible Counterfactual,-349.8356076231994,-0.0175723624969919,-0.16024863641018783,-350.026390833371
90,Tail-Risk Feasible Counterfactual,189.90404119321659,0.004747744813009547,-1.6129320101754274e-12,189.91350253506724
91,Tail-Risk Feasible Counterfactual,1277.3716495787871,0.0478125659383295,21.27013851350563,1298.7304879145668
92,Tail-Risk Feasible Counterfactual,-35.51055009570322,-0.005605732856906798,-1.674038685450796e-11,-35.502070204524955
93,Tail-Risk Feasible Counterfactual,-109.41721709111465,-0.0021889985063126005,-2.4272139853565022e-11,-109.42007941224225
94,Tail-Risk Feasible Counterfactual,-8.591344301946776,-0.00532469977645178,-0.3434901820896812,-8.940368012642807
95,Tail-Risk Feasible Counterfactual,101.75926235549406,-0.017318176862261225,-0.344243391858015,101.44477034382226
96,Tail-Risk Feasible Counterfactual,-43.8155544309289,-0.0008817258086537549,1.517719283583574e-11,-43.81623450943124
97,Tail-Risk Feasible Counterfactual,-34.70312962768131,-0.0001462289231426439,-6.16751094639767e-12,-34.70407411024726
98,Tail-Risk Feasible Counterfactual,-38.88863387467339,-0.00020500580663451728,-1.0857093002414331e-11,-38.8896189967287
99,Tail-Risk Feasible Counterfactual,-32.633720901119915,-4.082434409724556e-05,-7.474909580196254e-12,-32.634344980338426
100,Tail-Risk Feasible Counterfactual,-4.277074431148776,-0.000301684425323856,1.2107648217352107e-11,-4.277101451757062
101,Tail-Risk Feasible Counterfactual,1173.25330874206,0.018391935451234076,18.868386187846,1192.150977532511
102,Tail-Risk Feasible Counterfactual,253.80127994280235,0.00364385233115172,-8.753886504564434e-12,253.8189619615207
103,Tail-Risk Feasible Counterfactual,-100.11626288447889,-0.0027977610379252837,-0.3980174069932332,-100.5170780525101
104,Tail-Risk Feasible Counterfactual,-2.5065486678432762,-5.385258003798299e-05,-4.604316927725449e-12,-2.5067021317873923
105,Tail-Risk Feasible Counterfactual,40.96381557803171,3.411730816083036e-06,-6.295408638834488e-12,40.96383761416027
106,Tail-Risk Feasible Counterfactual,-13.467166915539195,-0.00018214827903761943,2.3021584638627246e-11,-13.467517943199056
107,Tail-Risk Feasible Counterfactual,-125.90484897263342,-0.004531713077284394,-1.800515292416094e-11,-125.91254198328042
108,Tail-Risk Feasible Counterfactual,-17.94553564107474,-0.00034278241514584806,-4.547473508864641e-12,-17.946251667479885
109,Tail-Risk Feasible Counterfactual,380.79806694165507,0.017272273450885223,0.2589340358689185,381.0960180761658
110,Tail-Risk Feasible Counterfactual,-64.24947466907258,-0.0029138510441271137,-0.04498697964055509,-64.29928004467678
111,Tail-Risk Feasible Counterfactual,-110.84152575273663,-0.005637523605230399,-0.2503974452675948,-111.10208774992572
112,Tail-Risk Feasible Counterfactual,-97.92488655967713,-0.009918235783743512,-0.008866688194984818,-97.94755785644236
113,Tail-Risk Feasible Counterfactual,278.17516925085977,-0.0083940529503721,-1.6058265828178264e-11,278.1997710508534
114,Tail-Risk Feasible Counterfactual,-432.32275121379223,-0.007548325218294849,-0.1965939933156733,-432.5292761386276
61,Single Feasible Projection,-481.81515550361644,0.0004978681652119121,-5.002220859751105e-12,-481.8424669215491
62,Single Feasible Projection,1372.516402763399,0.011191259074586773,-9.094947017729282e-12,1372.6056869290962
63,Single Feasible Projection,-1129.7010633075167,-0.022667515137300143,7.73070496506989e-12,-1129.7649853124794
64,Single Feasible Projection,189.22254436268543,-0.01870127687823242,1.261923898709938e-11,189.34333462413952
65,Single Feasible Projection,-254.04121992811048,-0.003147885451028287,-2.029310053330846e-11,-254.05681915222726
66,Single Feasible Projection,274.231608311458,-0.037831437461477435,-19.209959152897227,255.1040593130857
67,Single Feasible Projection,-81.44844339927363,-0.00021955736087875266,1.3642420526593924e-11,-81.44986150515683
